Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,Price
244,165,102,Rear-wheel drive,Toyota 4.0L 6 Cylinder 236 hp 266 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,21,Automatic transmission,2010 Toyota Tacoma Double Cab PreRunner,Toyota,2010 Toyota Tacoma,2010,236,266,13400
115,140,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,6,6 Speed Manual,24,Gasoline,29,Manual transmission,2009 Nissan Cube 1.8 S,Nissan,2009 Nissan Cube,2009,122,127,10800
244,99,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,TRUE,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Nissan Frontier Crew Cab SV V6 AT,Nissan,2011 Nissan Frontier,2011,261,281,14900
212,123,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,TRUE,6,6 Speed Manual,14,Gasoline,21,Manual transmission,2012 Chevrolet Corvette ZR1 1ZR,Chevrolet,2012 Chevrolet Corvette ZR1,2012,638,604,63000
177,202,244,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 140 hp 236 ft-lbs Turbo Diesel,TRUE,6,6 Speed Manual,30,Gasoline,41,Manual transmission,2010 Volkswagen Jetta TDI Cup Edition,Volkswagen,2010 Volkswagen Jetta,2010,140,236,18700
148,98,194,Front-wheel drive,GMC 3.0L 6 Cylinder 264 hp 222 ft-lbs FFV,TRUE,6,6 Speed Automatic,12,E85,18,Automatic transmission,2012 GMC Terrain SLE-2 264 hp,GMC,2012 GMC Terrain,2012,264,222,16700
193,212,151,Rear-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,TRUE,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission,2012 Grand Cherokee Overland 4x2,Grand Cherokee,2012 Jeep Grand Cherokee,2012,290,260,21500
224,162,49,Front-wheel drive,Chevrolet 2.4L 4 Cylinder 182 hp 172 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,32,Automatic transmission,2011 Chevrolet Equinox LTZ,Chevrolet,2011 Chevrolet Equinox,2011,182,172,19900
104,22,72,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2012 Hyundai Genesis Coupe 3.8 R-Spec,Hyundai,2012 Hyundai Genesis Coupe,2012,306,266,16600
200,210,110,All-wheel drive,BMW 4.4L 8 cylinder 400 hp 450 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,20,Automatic transmission,2010 BMW 750i xDrive Sedan,BMW,2010 BMW 7 Series,2010,400,450,19400
158,187,138,All-wheel drive,Porsche 4.8L 8 cylinder 500 hp 516 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,19,Automatic transmission,2010 Porsche Cayenne Turbo,Porsche,2010 Porsche Cayenne,2010,500,516,27700
28,64,135,All-wheel drive,Lincoln 3.5L 6 Cylinder 355 hp 350 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2011 Lincoln MKS Ecoboost,Lincoln,2011 Lincoln MKS,2011,355,350,16900
191,221,143,Front-wheel drive,Mazda 3.7L 6 Cylinder 273 hp 270 ft-lbs,TRUE,6,6 Speed Automatic,17,Gasoline,24,Automatic transmission,2012 Mazda CX-9 Touring,Mazda,2012 Mazda CX-9,2012,273,270,12000
193,12,49,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2011 Cadillac CTS Sport Wagon Luxury AWD,Cadillac,2011 Cadillac CTS Sport Wagon,2011,270,223,11100
143,122,237,Four-wheel drive,Toyota 4.6L 8 Cylinder 310 hp 327 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,19,Automatic transmission,2010 Toyota Tundra Double Cab Long Bed 4X4,Toyota,2010 Toyota Tundra,2010,310,327,13100
132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Cadillac SRX Performance AWD,Cadillac,2011 Cadillac SRX,2011,265,223,15300
95,45,212,Rear-wheel drive,Ford 3.5L 6 Cylinder 365 hp 420 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2011 Ford F-150 FX2 SuperCrew 6.5-ft. Bed  V6,Ford,2011 Ford F-150,2011,365,420,10500
181,140,206,Four-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,17,Gasoline,23,Automatic transmission,2012 Chevrolet Colorado Extended Cab Work Truck AT 4WD,Chevrolet,2012 Chevrolet Colorado,2012,185,190,19700
120,140,181,Rear-wheel drive,Chevrolet 3.7L 5 Cylinder 242 hp 242 ft-lbs,TRUE,4,4 Speed Automatic,17,Gasoline,23,Automatic transmission,2012 Chevrolet Colorado Crew Cab 1LT 3.7L,Chevrolet,2012 Chevrolet Colorado,2012,242,242,22600
239,165,102,Four-wheel drive,Toyota 4.0L 6 Cylinder 236 hp 266 ft-lbs,TRUE,6,6 Speed Manual,14,Gasoline,18,Manual transmission,2010 Toyota Tacoma Access Cab V6 4X4,Toyota,2010 Toyota Tacoma,2010,236,266,11300
191,5,135,All-wheel drive,Ford 3.5L 6 Cylinder 262 hp 248 ft-lbs,TRUE,6,6 Speed Automatic,16,Gasoline,22,Automatic transmission,2010 Ford Flex Limited AWD,Ford,2010 Ford Flex,2010,262,248,11200
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,TRUE,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2011 Dodge Ram 1500 Lone Star Crew Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,15800
142,200,90,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2011 Cadillac CTS Coupe,Cadillac,2011 Cadillac CTS Coupe,2011,304,273,15300
161,10,214,Four-wheel drive,GMC 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,15,Gasoline,21,Automatic transmission,2010 GMC Yukon 4WD SLT,GMC,2010 GMC Yukon,2010,320,335,17600
109,230,41,Front-wheel drive,Hyundai 3.8L 6 Cylinder 265 hp 262 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2010 Mitsubishi Eclipse Spyder GT,Mitsubishi,2010 Mitsubishi Eclipse Spyder,2010,265,262,12400
190,206,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,5,5 Speed Manual,28,Gasoline,34,Manual transmission,2010 Hyundai Accent Hatchback GS,Hyundai,2010 Hyundai Accent Hatchback,2010,110,106,12300
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,36,Automatic transmission,2011 Kia Forte EX,Kia,2011 Kia Forte,2011,156,144,14300
133,208,237,Rear-wheel drive,Toyota 4.0L 6 Cylinder 236 hp 266 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,16,Gasoline,20,Automatic transmission,2011 Toyota Tundra,Toyota,2011 Toyota Tundra,2011,236,266,13400
246,102,83,Rear-wheel drive,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,TRUE,6,6 Speed Manual,11,Gasoline,17,Manual transmission,2011 Aston Martin DB9 Volante,Aston Martin,2011 Aston Martin DB9 Volante,2011,470,443,102000
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,TRUE,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2011 Dodge Ram 1500 SLT Quad Cab 390 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,16200
82,70,240,Four-wheel drive,GMC 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,11,E85,16,Automatic transmission,2011 GMC Sierra 1500 Long Box SLE 4WD 5.3L,GMC,2011 GMC Sierra 1500,2011,315,335,13100
148,51,226,Rear-wheel drive,Ford 4.0L 6 Cylinder 207 hp 238 ft-lbs,TRUE,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Ford Ranger XLT SuperCab V6 AT,Ford,2011 Ford Ranger,2011,207,238,14200
213,243,69,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,22,Automatic transmission,2010 Volvo S80 V8,Volvo,2010 Volvo S80,2010,311,325,13800
119,128,229,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,6,6 Speed Manual,22,Gasoline,32,Manual transmission,2011 Kia Forte Koup SX,Kia,2011 Kia Forte Koup,2011,173,168,13100
239,233,194,All-wheel drive,GMC 3.6L 6 Cylinder 288 hp 270 ft-lbs.,TRUE,6,6 Speed Automatic,16,Gasoline,23,Automatic transmission,2012 GMC Acadia Denali AWD,GMC,2012 GMC Acadia,2012,288,270,18200
148,45,212,Four-wheel drive,Ford 5.4L 8 cylinder 310 hp 365 ft-lbs FFV,TRUE,6,6 Speed Automatic,10,E85,13,Automatic transmission,2010 Ford F-150 Lariat SuperCrew 6.5-ft. Bed 4X4,Ford,2010 Ford F-150,2010,310,365,14100
133,122,237,Rear-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,18,Automatic transmission,2011 Toyota Tundra Double Cab Long Bed,Toyota,2011 Toyota Tundra,2011,381,401,9100
163,207,244,All-wheel drive,Subaru 2.5L 4 Cylinder 170 hp 174 ft-lbs,TRUE,5,5 Speed Manual,21,Gasoline,27,Manual transmission,2011 Subaru Forester 2.5X Premium,Subaru,2011 Subaru Forester,2011,170,174,9300
224,162,49,All-wheel drive,Chevrolet 3.0L 6 Cylinder 264 hp 222 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,12,E85,17,Automatic transmission,2011 Chevrolet Equinox LTZ FFV AWD,Chevrolet,2011 Chevrolet Equinox,2011,264,222,19400
60,23,203,All-wheel drive,Acura 3.7L 6 Cylinder 300 hp 270 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,23,Automatic transmission,2011 Acura ZDX,Acura,2011 Acura ZDX,2011,300,270,10700
168,155,222,Rear-wheel drive,Nissan 5.6L 8 Cylinder 317 hp 385 ft-lbs FFV,TRUE,5,5 Speed Automatic,9,E85,13,Automatic transmission,2012 Nissan Armada SL FFV,Nissan,2012 Nissan Armada,2012,317,385,13400
109,73,79,Front-wheel drive,Mazda 2.5L 4 Cylinder 161 hp 161 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,28,Automatic transmission,2010 Mazda CX-7 i SV,Mazda,2010 Mazda CX-7,2010,161,161,14000
104,227,247,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2010 BMW 335i Convertible AT,BMW,2010 BMW 3 Series Convertible,2010,300,300,16900
186,187,224,Front-wheel drive,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,TRUE,5,5 Speed Manual,22,Gasoline,30,Manual transmission,2010 Toyota Corolla XRS,Toyota,2010 Toyota Corolla,2010,158,162,13100
162,233,41,Front-wheel drive,Ford 2.5L 4 Cylinder 175 hp 172 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,33,Automatic transmission,2012 Ford Fusion S AT,Ford,2012 Ford Fusion,2012,175,172,11800
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2011 Chevrolet Colorado,2011,185,190,17000
239,192,64,Rear-wheel drive,Dodge 3.7L 6 Cylinder 210 hp 235 ft-lbs,TRUE,4,4 Speed Automatic,16,Gasoline,22,Automatic transmission,2010 Dodge Nitro SXT Fleet,Dodge,2010 Dodge Nitro,2010,210,235,14600
167,3,102,Rear-wheel drive,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,TRUE,6,6 Speed Automatic Select Shift,15,Gasoline,21,Automatic transmission,2010 Jaguar XJ Supersport,Jaguar,2010 Jaguar XJ,2010,510,461,24000
127,129,148,Front-wheel drive,MINI 1.6L 4 Cylinder 172 hp 177 ft-lbs Turbo,TRUE,6,6 Speed Manual,26,Gasoline,34,Manual transmission,2010 MINI Cooper S Hardtop,MINI,2010 MINI Cooper Hardtop,2010,172,177,9700
220,79,113,All-wheel drive,Audi 4.2L 8 cylinder 420hp 317 ft-lbs,TRUE,6,6 Speed Manual,11,Gasoline,20,Manual transmission,2011 Audi R8 Spyder 4.2,Audi,2011 Audi R8 Spyder,2011,420,317,102000
190,206,158,Front-wheel drive,Hyundai 1.6L 4 cylinder 110hp 106  ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,2010 Hyundai Accent Hatchback SE AT,Hyundai,2010 Hyundai Accent Hatchback,2010,110,106,9100
244,99,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 261 hp 281 ft-lbs,TRUE,5,5 Speed Automatic,14,Gasoline,19,Automatic transmission,2010 Nissan Frontier Crew Cab PRO-4X 4x4,Nissan,2010 Nissan Frontier,2010,261,281,11200
252,142,212,Front-wheel drive,Ford 3.5L 6 Cylinder 290 hp 255 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2012 Ford Explorer Limited,Ford,2012 Ford Explorer,2012,290,255,10500
161,72,227,Four-wheel drive,Nissan 5.6L 8 Cylinder 317 hp 385 ft-lbs FFV,TRUE,5,5 Speed Automatic,12,Gasoline,17,Automatic transmission,2011 Nissan Titan Crew Cab PRO-4X FFV,Nissan,2011 Nissan Titan,2011,317,385,13100
200,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,TRUE,5,5 Speed Manual,20,Gasoline,27,Manual transmission,2010 Subaru Impreza Hatchback Outback Sport,Subaru,2010 Subaru Impreza Hatchback,2010,170,170,8400
155,151,216,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2010 Honda Civic LX Sedan,Honda,2010 Honda Civic Sedan,2010,140,128,14100
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,TRUE,6,6 Speed Manual,16,Gasoline,26,Manual transmission,2011 Chevrolet Corvette Grand Sport Coupe 4LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,40000
71,230,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 162 hp 162 ft-lbs,TRUE,5,5 Speed Manual,20,Gasoline,28,Manual transmission,2010 Mitsubishi Eclipse GS,Mitsubishi,2010 Mitsubishi Eclipse Coupe,2010,162,162,8600
6,75,55,Four-wheel drive,Jeep 3.8L 6 Cylinder 205 hp 240 ft-lbs,TRUE,6,6 Speed Manual,15,Gasoline,19,Manual transmission,2010 Jeep Wrangler Unlimited Rubicon,Jeep,2010 Jeep Wrangler,2010,205,240,23500
95,253,212,Rear-wheel drive,Ford 3.5L 6 Cylinder 365 hp 420 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2011 Ford F-150 King-Ranch SuperCrew 5.5-ft. Bed  V6,Ford,2011 Ford F-150,2011,365,420,18400
79,215,240,Four-wheel drive,GMC 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,TRUE,4,4 Speed Automatic,10,E85,13,Automatic transmission,2011 GMC Sierra 1500 Crew Cab Short Box SL 4WD,GMC,2011 GMC Sierra 1500,2011,302,305,19900
186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2010 Ford Escape Limited AWD,Ford,2010 Ford Escape,2010,171,171,16100
94,12,247,Rear-wheel drive,BMW 3.0L 6 cylinder 320 hp 332 ft-lbs Turbo,TRUE,6,6 Speed Manual,18,Gasoline,26,Manual transmission,2011 BMW 335is Coup,BMW,2011 BMW 3 Series Coup,2011,320,332,22600
208,93,186,Front-wheel drive,Ford 2.0L 4 Cylinder 140 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,25,Gasoline,34,Automatic transmission,2011 Ford Focus Sedan S AT,Ford,2011 Ford Focus Sedan,2011,140,136,14500
85,215,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,260,19300
144,57,8,All-wheel drive,Mitsubishi 3.0L 6 Cylinder 230 hp 215 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,19,Gasoline,25,Automatic transmission,2012 Mitsubishi Outlander GT AWD,Mitsubishi,2012 Mitsubishi Outlander,2012,230,215,8600
230,155,183,Rear-wheel drive,Mazda 2.0L 4 Cylinder 167 hp 140 ft-lbs,TRUE,6,6 Speed Manual,21,Gasoline,28,Manual transmission,2010 Mazda MX-5 Miata Touring - Power Retractable Hard Top,Mazda,2010 Mazda MX-5 Miata,2010,167,140,11000
214,221,191,Front-wheel drive,Toyota 3.5L 6 Cylinder 266hp 245 ft-lbs.,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2012 Toyota Sienna LE V6,Toyota,2012 Toyota Sienna,2012,266,245,12500
223,82,52,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,TRUE,6,6 Speed Manual,16,Gasoline,26,Manual transmission,2011 Chevrolet Corvette Coupe 1LT,Chevrolet,2011 Chevrolet Corvette Coupe,2011,430,424,44100
239,165,102,Rear-wheel drive,Toyota 2.7L 4 Cylinder 159 hp 180 ft-lbs,TRUE,5,5 Speed Manual,20,Gasoline,26,Manual transmission,2010 Toyota Tacoma Access Cab PreRunner,Toyota,2010 Toyota Tacoma,2010,159,180,11600
112,22,181,Rear-wheel drive,Chevrolet 3.7L 5 Cylinder 242 hp 242 ft-lbs,TRUE,4,4 Speed Automatic,17,Gasoline,23,Automatic transmission,2012 Chevrolet Colorado 1LT 3.7L,Chevrolet,2012 Chevrolet Colorado,2012,242,242,18300
132,172,29,All-wheel drive,Subaru 3.6L 6 cylinder 256 hp 247 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2010 Subaru Outback 3.6R Limited,Subaru,2010 Subaru Outback,2010,256,247,10300
200,111,97,Rear-wheel drive,Hyundai 4.6L 8 Cylinder 385 hp 333 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2011 Hyundai Genesis Sedan 4.6,Hyundai,2011 Hyundai Genesis Sedan,2011,385,333,16800
183,40,67,All-wheel drive,BMW 2.0L 4 Cylinder 240 hp 260 ft-lbs Turbo,TRUE,8,8 Speed Automatic Select Shift,22,Gasoline,32,Automatic transmission,2012 BMW 528i xDrive Sedan,BMW,2012 BMW 5 Series Sedan,2012,240,260,17700
74,8,249,Front-wheel drive,Kia 2.0L 4 Cylinder 142 hp 137 ft-lbs,TRUE,5,5 Speed Manual,24,Gasoline,30,Manual transmission,2010 Kia Soul Sport,Kia,2010 Kia Soul,2010,142,137,14700
11,141,44,Four-wheel drive,Jeep 3.7L 6 Cylinder 210 hp 235 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,21,Automatic transmission,2012 Jeep Liberty Sport 4x4,Jeep,2012 Jeep Liberty,2012,210,235,11900
52,20,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 266 hp 288 ft-lbs,TRUE,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2012 Nissan Pathfinder S 4x4,Nissan,2012 Nissan Pathfinder,2012,266,288,11100
36,20,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 266 hp 288 ft-lbs,TRUE,5,5 Speed Automatic,15,Gasoline,22,Automatic transmission,2012 Nissan Pathfinder S,Nissan,2012 Nissan Pathfinder,2012,266,288,10000
236,198,198,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 138 hp 125 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,35,Manual transmission,2012 Chevrolet Sonic Hatchback 1LT,Chevrolet,2012 Chevrolet Sonic Hatchback,2012,138,125,22700
64,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,9,E85,13,Automatic transmission,2011 Cadillac Escalade ESV Luxury AWD,Cadillac,2011 Cadillac Escalade ESV,2011,403,417,11400
30,109,16,All-wheel drive,Porsche 3.6L 6 cylinder 345 hp 288 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,25,Manual transmission,2011 Porsche 911 Carrera 4 Cabriolet,Porsche,2011 Porsche 911 Cabriolet,2011,345,288,70700
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,TRUE,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2011 Dodge Ram 1500 Sport Quad Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,17900
